episode,reward,success,epsilon,steps
533,1.0,1,0.0691356479495614,19
534,1.0,1,0.06878996970981359,11
535,1.0,1,0.06844601986126451,13
536,1.0,1,0.06810378976195819,76
537,0.0,1,0.0677632708131484,8
538,0.0,1,0.06742445445908266,10
539,1.0,1,0.06708733218678724,20
540,0.0,1,0.0667518955258533,16
541,0.0,1,0.06641813604822402,13
542,1.0,1,0.0660860453679829,15
543,1.0,1,0.06575561514114299,10
544,0.0,1,0.06542683706543727,18
545,1.0,1,0.06509970288011008,12
546,1.0,1,0.06477420436570952,9
547,0.0,1,0.06445033334388098,9
548,0.0,1,0.06412808167716157,7
549,0.0,1,0.06380744126877576,34
550,1.0,1,0.06348840406243188,21
551,0.0,1,0.06317096204211972,7
552,0.0,1,0.06285510723190912,24
553,0.0,1,0.06254083169574957,2
554,0.0,1,0.062228127537270826,14
555,0.0,1,0.06191698689958447,27
556,0.0,1,0.061607401965086545,37
557,0.0,1,0.06129936495526111,49
558,1.0,1,0.0609928681304848,18
559,0.0,1,0.060687903789832374,9
560,1.0,1,0.06038446427088321,40
561,0.0,1,0.06008254194952879,41
562,0.0,1,0.05978212923978115,21
563,0.0,1,0.05948321859358224,19
564,0.0,1,0.05918580250061433,4
565,0.0,1,0.058889873488111255,44
566,0.0,1,0.058595424120670696,7
567,0.0,1,0.05830244700006734,17
568,0.0,1,0.058010934765067,5
569,1.0,1,0.05772088009124167,17
570,0.0,1,0.05743227569078546,51
571,1.0,1,0.05714511431233153,15
572,0.0,1,0.05685938874076987,13
573,0.0,1,0.056575091797066025,25
574,0.0,1,0.056292216338080694,25
575,0.0,1,0.05601075525639029,6
576,0.0,1,0.05573070148010834,6
577,0.0,1,0.0554520479727078,32
578,0.0,1,0.05517478773284426,30
579,0.0,1,0.05489891379418004,19
580,1.0,1,0.05462441922520914,13
581,0.0,1,0.0543512971290831,5
582,0.0,1,0.05407954064343768,36
583,0.0,1,0.05380914294022049,11
584,0.0,1,0.05354009722551939,13
585,0.0,1,0.05327239673939179,24
586,0.0,1,0.053006034755694834,14
587,1.0,1,0.052741004581916356,9
588,1.0,1,0.052477299559006776,16
589,0.0,1,0.052214913061211746,9
590,0.0,1,0.05195383849590569,8
591,0.0,1,0.05169406930342616,13
592,0.0,1,0.05143559895690903,36
593,0.0,1,0.051178420962124486,45
594,0.0,1,0.05092252885731386,31
595,1.0,1,0.05066791621302729,12
596,0.0,1,0.05041457663196215,23
597,0.0,1,0.050162503748802344,12
598,0.0,1,0.05,10
599,0.0,1,0.05,8
600,0.0,1,0.05,7
601,0.0,1,0.05,31
602,0.0,1,0.05,18
603,0.0,1,0.05,27
604,0.0,1,0.05,49
605,0.0,1,0.05,7
606,0.0,1,0.05,18
607,1.0,1,0.05,31
608,0.0,1,0.05,12
609,0.0,1,0.05,17
610,1.0,1,0.05,18
611,0.0,1,0.05,16
612,0.0,1,0.05,4
613,1.0,1,0.05,18
614,0.0,1,0.05,30
615,0.0,1,0.05,6
616,0.0,1,0.05,8
617,0.0,1,0.05,12
618,0.0,1,0.05,14
619,0.0,1,0.05,10
620,0.0,1,0.05,4
621,0.0,1,0.05,37
622,1.0,1,0.05,40
623,0.0,1,0.05,16
624,1.0,1,0.05,18
625,0.0,1,0.05,17
626,0.0,1,0.05,8
627,0.0,1,0.05,16
628,0.0,1,0.05,26
629,0.0,1,0.05,4
630,0.0,1,0.05,6
631,1.0,1,0.05,17
632,0.0,1,0.05,10
633,1.0,1,0.05,22
634,0.0,1,0.05,8
635,0.0,1,0.05,5
636,0.0,1,0.05,7
637,0.0,1,0.05,14
638,0.0,1,0.05,17
639,0.0,1,0.05,6
640,0.0,1,0.05,15
641,0.0,1,0.05,9
642,0.0,1,0.05,25
643,0.0,1,0.05,32
644,0.0,1,0.05,16
645,0.0,1,0.05,5
646,1.0,1,0.05,27
647,0.0,1,0.05,11
648,1.0,1,0.05,39
649,0.0,1,0.05,30
650,0.0,1,0.05,19
651,0.0,1,0.05,88
652,0.0,1,0.05,33
653,1.0,1,0.05,18
654,0.0,1,0.05,10
655,1.0,1,0.05,15
656,0.0,1,0.05,13
657,1.0,1,0.05,19
658,1.0,1,0.05,9
659,1.0,1,0.05,22
660,0.0,1,0.05,45
661,0.0,1,0.05,14
662,0.0,1,0.05,17
663,0.0,1,0.05,13
664,0.0,1,0.05,13
665,1.0,1,0.05,20
666,0.0,1,0.05,10
667,0.0,1,0.05,16
668,0.0,1,0.05,52
669,1.0,1,0.05,23
670,1.0,1,0.05,23
671,0.0,1,0.05,23
672,0.0,1,0.05,21
673,0.0,1,0.05,14
674,0.0,1,0.05,13
675,0.0,1,0.05,3
676,1.0,1,0.05,16
677,1.0,1,0.05,21
678,1.0,1,0.05,27
679,0.0,1,0.05,8
680,0.0,1,0.05,21
681,0.0,1,0.05,8
682,0.0,1,0.05,8
683,0.0,1,0.05,11
684,1.0,1,0.05,35
685,0.0,1,0.05,22
686,0.0,1,0.05,38
687,1.0,1,0.05,7
688,0.0,1,0.05,18
689,0.0,1,0.05,21
690,0.0,1,0.05,29
691,0.0,1,0.05,3
692,0.0,1,0.05,16
693,0.0,1,0.05,8
694,0.0,1,0.05,33
695,0.0,1,0.05,15
696,0.0,1,0.05,10
697,0.0,1,0.05,9
698,0.0,1,0.05,11
699,0.0,1,0.05,15
700,0.0,1,0.05,14
701,0.0,1,0.05,7
702,1.0,1,0.05,22
703,1.0,1,0.05,9
704,1.0,1,0.05,15
705,1.0,1,0.05,19
706,1.0,1,0.05,18
707,0.0,1,0.05,15
708,1.0,1,0.05,15
709,1.0,1,0.05,16
710,0.0,1,0.05,18
711,0.0,1,0.05,45
712,1.0,1,0.05,23
713,0.0,1,0.05,13
714,0.0,1,0.05,39
715,1.0,1,0.05,26
716,0.0,1,0.05,2
717,0.0,1,0.05,36
718,1.0,1,0.05,27
719,0.0,1,0.05,29
720,1.0,1,0.05,20
721,0.0,1,0.05,36
722,1.0,1,0.05,18
723,0.0,1,0.05,17
724,0.0,1,0.05,7
725,0.0,1,0.05,6
726,0.0,1,0.05,5
727,0.0,1,0.05,16
728,0.0,1,0.05,13
729,0.0,1,0.05,29
730,0.0,1,0.05,8
731,1.0,1,0.05,30
732,0.0,1,0.05,5
733,0.0,1,0.05,21
734,0.0,1,0.05,36
735,0.0,1,0.05,14
736,1.0,1,0.05,27
737,0.0,1,0.05,36
738,0.0,1,0.05,30
739,0.0,1,0.05,10
740,1.0,1,0.05,17
741,0.0,1,0.05,20
742,0.0,1,0.05,13
743,1.0,1,0.05,14
744,1.0,1,0.05,14
745,0.0,1,0.05,9
746,1.0,1,0.05,21
747,1.0,1,0.05,12
748,0.0,1,0.05,25
749,0.0,1,0.05,16
750,0.0,1,0.05,48
751,0.0,1,0.05,14
752,0.0,1,0.05,54
753,0.0,1,0.05,42
754,1.0,1,0.05,39
755,0.0,1,0.05,14
756,0.0,1,0.05,22
757,0.0,1,0.05,13
758,0.0,1,0.05,15
759,0.0,1,0.05,12
760,0.0,1,0.05,26
761,0.0,1,0.05,10
762,0.0,1,0.05,3
763,0.0,1,0.05,16
764,1.0,1,0.05,17
765,0.0,1,0.05,76
766,0.0,1,0.05,9
767,0.0,1,0.05,57
768,0.0,1,0.05,16
769,0.0,1,0.05,19
770,0.0,1,0.05,4
771,0.0,1,0.05,23
772,0.0,1,0.05,45
773,0.0,1,0.05,15
774,0.0,1,0.05,36
775,0.0,1,0.05,25
776,1.0,1,0.05,17
777,0.0,1,0.05,8
778,0.0,1,0.05,7
779,0.0,1,0.05,13
780,0.0,1,0.05,13
781,0.0,1,0.05,12
782,0.0,1,0.05,12
783,0.0,1,0.05,12
784,0.0,1,0.05,19
